Angle	Frequency	AF	ARF	ax	bx	cx
64.0	224.0	14336.0	957.864291014	0.150654624112	0	0
128.0	56.0	7168.0	957.864291014	0.118352507177	0	0
72.0	192.0	13824.0	997.66126516	0.150229415072	0	0
144.0	48.0	6912.0	997.66126516	0.120042611005	0	0
56.0	320.0	17920.0	1001.75845392	0.158414593315	0	0
112.0	80.0	8960.0	1001.75845392	0.123418513445	0	0
80.0	160.0	12800.0	1011.92885125	0.142771869695	0	0
160.0	40.0	6400.0	1011.92885125	0.120121503159	0	0
96.0	112.0	10752.0	1015.96850345	0.120472521864	0	0
180.0	32.0	5760.0	1018.23376491	0.113007194781	0	0
32.0	1024.0	32768.0	1024.0	0.121961794265	0	0
128.0	64.0	8192.0	1024.0	0.114959252469	0	0
64.0	256.0	16384.0	1024.0	0.121899858762	0	0
